slug,bestPosition,impressions,topKeyword,topVolume
dyson-vs-shark-vacuum,66,51,"shark or dyson",5400
usa-vs-china,47,40,"is china bigger than the united states",6600
charles-schwab-vs-fidelity,59,40,"charles schwab vs fidelity",9900
ally-bank-vs-marcus-by-goldman-sachs,23,34,"marcus hysa",6600
firefox-vs-safari,40,26,"firefox v safari",720
toyota-rav4-vs-honda-cr-v,66,22,"honda crv vs toyota rav",5400
us-military-vs-china-military,22,19,"china military vs united states",880
phd-vs-masters-degree,51,14,"masters degree vs phd",3600
chase-vs-bank-of-america,53,14,"chase bank or bank of america",3600
mcafee-vs-norton,70,14,"mcafee versus norton antivirus",3600
youtube-tv-vs-hulu-live,46,13,"hulu live tv vs youtube tv",6600
schwab-vs-vanguard,32,11,"charles schwab vs vanguard",1900
ww1-vs-ww2,16,9,"compare ww1 and ww2",260
ipad-vs-samsung-tablet,51,6,"ipad versus samsung tablet",2900
mba-vs-masters,74,6,"m.a vs mba",1300
square-vs-stripe,85,6,"square up vs stripe",2900
bubly-vs-lacroix,24,4,"bubly vs la croix",210
cancun-vs-hawaii,44,4,"cancun vs hawaii",320
lebron-vs-jordan,24,3,"is lebron or jordan better",210
disney-plus-vs-paramount-plus,25,3,"disney and paramount",140
us-economy-vs-china-economy,30,3,"united states economy vs china",880
tidal-vs-spotify,33,3,"spotify sound quality vs tidal",140
macbook-air-m3-vs-macbook-air-m4,36,3,"m4 vs m3 macbook air",140
the-new-york-times-vs-washington-post,37,3,"nyt vs washington post",210
geico-vs-usaa,42,3,"is geico cheaper than usaa",210
google-flights-vs-kayak,42,3,"google flights vs kayak",140
quickbooks-vs-wave,60,3,"wave accounting vs quickbooks",1300
ikea-vs-wayfair,13,2,"wayfair quality vs ikea",110
expedia-vs-kayak,16,2,"expedia vs kayak",260
amazon-vs-best-buy,18,2,"amazon vs best buy",110
farmers-insurance-vs-state-farm,19,2,"is farmers insurance the same as state farm",260
macbook-air-vs-macbook-pro-difference-2026-specs,19,2,"macbook pro vs air 2026",110
ps5-pro-vs-xbox-series-x-performance-comparison-2026,20,2,"xbox series x vs ps5 pro specs",140
hulu-vs-peacock,21,2,"peacock hulu",170
amazon-vs-wayfair,23,2,"amazon and wayfair",210
tcl-vs-vizio,32,2,"which is better vizio or tcl",170
nintendo-switch-vs-playstation-5,32,2,"nintendo switch versus playstation 5",110
economy-class-vs-business-class,38,2,"difference between economy and business",140
american-express-vs-mastercard,42,2,"american express vs mastercard",210
crossfit-vs-gym,47,2,"crossfit vs gym",140
mercedes-vs-audi,58,2,"audi and mercedes",260
capital-one-vs-chase,13,1,"is chase or capital one better",140
jbl-vs-marshall,21,1,"marshall vs jbl",110
entertainment-style-netflix-shines-with-a-wide-variety-vs-youtube-tv-comparison-2026,22,1,"netflix vs youtube tv",170
hbo-max-vs-netflix,27,1,"hbo vs netflix",210
cloudflare-vs-porkbun,30,1,"cloudflare vs porkbun",210
iphone-vs-samsung-galaxy,33,1,"new iphone versus new samsung",170
audible-vs-libby,33,1,"libby vs audible",140
neymar-vs-mbappe,36,1,"who is better neymar or mbappe",170
backblaze-vs-carbonite,37,1,"backblaze vs carbonite",140
neymar-vs-mbape,37,1,"neymar vs mbappe",110
airpods-4-vs-airpods-pro,40,1,"apple airpods 4 vs pro",170
north-korea-vs-south-korea,40,1,"compare north and south korea",110
jimmy-john-s-vs-subway,40,1,"jimmy john's subways",110
chipotle-vs-taco-bell,42,1,"chipotle or taco bell",170
eufy-robovac-vs-irobot-roomba,42,1,"eufy vs irobot",140
xbox-series-x-vs-nintendo-switch-2,42,1,"nintendo switch 2 vs xbox series x",110
bose-vs-sonos,43,1,"bose or sonos",210
hbo-max-vs-hulu,44,1,"hulu vs hbo max",210
mac-vs-windows,45,1,"why macs are better than windows",260
mercedes-vs-tesla,46,1,"mercedes vs tesla",170
